Name	Gender	Race
George Singleton		
Gideon Lichfield		
Gregg Easterbrook		
Guy Lawson		
Hailun Ma		
Hannah Dreier		
Helen Ouyang		
Henry Blodget		
Henry Grabar		
Henry McGee		
Humza Deas		
Ibram X. Kendi		
Ira Boudway		
Irina Aleksander		
Isaac Butler		
Italo Gregorio		
Jack Miles		
Jake Halpern		
Jake Honig		
Jake Sullivan		
James Fenton		
James Gimpel		
James Gleick		
James Hamblin		
James Traub		
James Vlahos		
Jane Black		
Jared Soule		
Jason Fagone		
Jay Bulger		
Jean M. Twenge		
Jed Rubenfeld		
Jeff Himmelman		
Jeff McKay		
Jeff Wise		
Jeffrey Ball		
Jeffrey E. Stern		
Jeffrey Rosen		
Jen Gann		
Jennifer Vineyard		
Jesse Eisinger		
Jesse Lichtenstein		
Jessica Bruder		
Jillian Goodman		
Jillian Lauren		
Jim Holt		
Joe Coscarelli		
Joe Jonas		
Joel Klein		
John Donvan		
John Freeman Gill		
John Gapper		
John H. Richardson		
John H. Tucker		
John J. Lennon		
John Rosengren		
John Wolfson		
Johnny Ramone		
Jonah Weiner		
Jonathan Alter		
"Jonathan Chait
,"		
Jonathan Cohn		
Joseph Bernstein		
Joseph Epstein		
Joseph Hooper		
Josh Barro		
Josh Dean		
Joshua David Stein		
Joshua Lang		
Justin Miller		
Kaitlin Menza		
Karl Taro Greenfeld		
Katherine Heiny		
Katherine Tiedemann		
Kathy Dobie		
Katty Kay		
Kehinde Wiley		
Ken Stern		
Kenneth Brower		
Kera Bolonik		
Kim Brooks		
Kim Phillips-Fein		
Kristen French		
Kurt Vonnegut		
Lara Bazelon		
Larry Platt		
Laura Parker		
Lauren DeCarlo		
Lauren Groff		
Lauren Levy		
Laurie Simmons		
Leslie Jamison		
Lindsay Peoples Wagner		
Lisa Chase		
Liza Mundy		
Lizzy Goodman		
Lois Parshley		
Louie Lazar		
Mac McClelland		
"Madison Malone Kircher,"		
Maria Reva		
Maria Streshinsky		
Marisa Meltzer		
Mark Danner		
Mark Edmundson		
Mark Greif		
Mark Halperin		
"Mark Harris
,"		
Mark Levine		
Marshall Sella		
Mary Kaye Schilling		
Mary Morris		
Maryn McKenna		
Matt Apuzzo		
Matt Hart		
Matt Zoller		
Matthew Giles		
Matthew Love		
Matthew McGough		
Maud Doyle		
Maureen O'Connor		
Maurizio Cattelan		
Max Chafkin		
Max Fisher		
Maximillian Potter		
Meaghan Winter		
Meghan O'Rourke		
Melissa Gaskill		
"Michael Hirschorn
,"		
Michael Ignatieff		
Michael J. Sandel		
Michael Joseph Gross		
Michael LaPointe		
Michael O'Donnell		
Michael Slenske		
Michelle Cottle		
Mickey Woods		
Mike Fernandez		
Mike Mariani		
Mike Tyson		
Miles O'Brien		
Miranda Siegel		
Molly Young		
Molly Langmuir		
Molly Patterson		
Mujib Mashal		
Nancy C. Andreasen		
Nathan Heller		
Nathan Perl-Rosenthal		
Nathaniel Rich		
Newton N. Minow		
Nicolas Yan		
Nicole Allan		
Nikole Hannah-Jones		
Noah Kulwin		
Norman Jean Roy		
Paddy Johnson		
Paige Williams		
Pamela Paul		
Parker Richards		
Pat Jordan		
Patrick Burleigh		
Patrick Radden Keefe		
Paul Bloom		
Paul Campos		
Paul Tough		
Peg Tyre		
Peter B. Bach		
Peter Bergen		
Peter de Jonge		
Phil Klay		
Rachel Baker		
Rachel Donadio		
Rachel Kaadzi Ghansah		
Rachel Monroe		
Rachel Syme		
Raymond Bonner		
Rebecca Carroll		
Rebecca Milzoff		
Rebecca Newberger Goldstein		
Reid Cherlin		
Rembert Browne		
Rich Schapiro		
Robert Boswell		
Robert H. Scales		
Robert S. Boynton		
Robin Givhan		
Robin Fields/ProPublica		
Robin Givhan		
Roger Lowenstein		
Roger Rosenblatt		
Ron Rash		
Ross Douthat		
Rumaan Alam		
Ruth Franklin		
Sage Stossel		
Saki Knafo		
Sam Anderson		
Sam Quinones		
Samanta Schweblin		
Sanda Tsing		
Sanford J. Ungar		
Sarah Carr		
Sarah Nathan		
Sarah Yager		
Sarah Zhang		
Scott Brown		
Scott Stossel		
Sebastian Mallaby		
Seth Mnookin		
Siobhan Roberts		
Sophie Gilbert		
Spencer Kornhaber		
Stella Bugbee		
Stephen Breyer		
Stephen Cave		
Stephen Hall		
Stephen J. Rose		
Stephen Marche		
Stephen Witt		
Steven Davidoff Solomon		
Steven R. Weisman		
Stuart A. Reid		
Suzanne Mozes	F	
Tara Abell	F	
Taylor Branch		
Tessa Hadley	F	
Thanh T. Nguyen		
Thomas Pierce	M	
Tim Gautreaux		
Tim Kane		
Tina Rosenberg	F	
Tom Gogola	M	
Tony Rousmaniere	M	
Tory Hoen		
Tyler Cowen	M	
Vulture Editors		
Wajahat Ali		
Walter Mosley	M	
Will Frears	M	
Will Mackin	M	
William Brennan	M	
William J. Burns	M	
William Langewiesche	M	
Willy Shih	M	
Willy Staley	M	
Yascha Mounk		
Yochi Dreazen		
Yuval Noah Harari		
rebecca ramsey	F	
